MEASURED_IN_DATE,WELL_NAME,OIL_RATE_5_days_ago,OIL_RATE_4_days_ago,OIL_RATE_3_days_ago,OIL_RATE_2_days_ago,OIL_RATE_1_days_ago,TARGET_OIL_RATE
2020-09-05,1,98.8,97.6,99.63,96.4,91.2,90.82
2020-09-06,1,97.6,99.63,96.4,91.2,90.82,92.82
2020-09-07,1,99.63,96.4,91.2,90.82,92.82,96.76
2020-09-08,1,96.4,91.2,90.82,92.82,96.76,96.76
2020-09-09,1,91.2,90.82,92.82,96.76,96.76,95.94
2020-09-10,1,90.82,92.82,96.76,96.76,95.94,94.71
2020-09-11,1,92.82,96.76,96.76,95.94,94.71,92.4
2020-09-12,1,96.76,96.76,95.94,94.71,92.4,92.4
2020-09-13,1,96.76,95.94,94.71,92.4,92.4,92.4
2020-09-14,1,95.94,94.71,92.4,92.4,92.4,92.4
2020-09-15,1,94.71,92.4,92.4,92.4,92.4,92.4
2020-09-16,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-17,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-18,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-19,1,92.4,92.4,92.4,92.4,92.4,89.60000000000001
2020-09-20,1,92.4,92.4,92.4,92.4,89.60000000000001,87.2
2020-09-21,1,92.4,92.4,92.4,89.60000000000001,87.2,84.63000000000001
2020-09-22,1,92.4,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001
2020-09-23,1,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001
2020-09-24,1,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94
2020-09-25,1,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18
2020-09-26,1,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18,80.18
2020-09-27,1,83.85000000000001,81.32000000000001,80.94,80.18,80.18,80.56
2020-09-28,1,81.32000000000001,80.94,80.18,80.18,80.56,79.8
2020-09-29,1,80.94,80.18,80.18,80.56,79.8,75.6
2020-09-30,1,80.18,80.18,80.56,79.8,75.6,75.6
2020-10-01,1,80.18,80.56,79.8,75.6,75.6,74.52
2020-10-02,1,80.56,79.8,75.6,75.6,74.52,73.8
2020-10-03,1,79.8,75.6,75.6,74.52,73.8,74.16
2020-10-04,1,75.6,75.6,74.52,73.8,74.16,72.72
2020-10-05,1,75.6,74.52,73.8,74.16,72.72,72.0
2020-10-06,1,74.52,73.8,74.16,72.72,72.0,71.64
2020-10-07,1,73.8,74.16,72.72,72.0,71.64,70.92
2020-10-08,1,74.16,72.72,72.0,71.64,70.92,70.56
2020-10-09,1,72.72,72.0,71.64,70.92,70.56,70.56
2020-10-10,1,72.0,71.64,70.92,70.56,70.56,70.56
2020-10-11,1,71.64,70.92,70.56,70.56,70.56,62.07999999999999
2020-10-12,1,70.92,70.56,70.56,70.56,62.07999999999999,62.07999999999999
2020-10-13,1,70.56,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001
2020-10-14,1,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001
2020-10-15,1,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001
2020-10-16,1,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001
2020-10-17,1,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001
2020-10-18,1,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001
2020-10-19,1,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001
2020-10-20,1,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001
2020-10-21,1,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-22,1,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-23,1,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-24,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-25,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-26,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999
2020-10-27,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999
2020-10-28,1,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999
2020-10-29,1,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999
2020-10-30,1,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999
2020-10-31,1,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999
2020-11-01,1,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999
2020-11-02,1,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999
2020-11-03,1,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999
2020-11-04,1,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999
2020-11-05,1,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001
2020-11-06,1,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001
2020-11-07,1,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006
2020-11-08,1,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006
2020-11-09,1,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006
2020-11-10,1,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001
2020-11-11,1,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001,51.52
2020-11-12,1,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001,51.52,50.68000000000001
2020-11-13,1,53.650000000000006,53.650000000000006,53.36000000000001,51.52,50.68000000000001,49.14
2020-11-14,1,53.650000000000006,53.36000000000001,51.52,50.68000000000001,49.14,48.870000000000005
2020-11-15,1,53.36000000000001,51.52,50.68000000000001,49.14,48.870000000000005,49.14
2020-11-16,1,51.52,50.68000000000001,49.14,48.870000000000005,49.14,49.14
2020-11-17,1,50.68000000000001,49.14,48.870000000000005,49.14,49.14,49.14
2020-11-18,1,49.14,48.870000000000005,49.14,49.14,49.14,49.68000000000001
2020-11-19,1,48.870000000000005,49.14,49.14,49.14,49.68000000000001,49.68000000000001
2020-11-20,1,49.14,49.14,49.14,49.68000000000001,49.68000000000001,49.68000000000001
2020-11-21,1,49.14,49.14,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001
2020-11-22,1,49.14,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001,49.41
2020-11-23,1,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001,49.41,47.58
2020-11-24,1,49.68000000000001,49.68000000000001,49.68000000000001,49.41,47.58,43.68
2020-11-25,1,49.68000000000001,49.68000000000001,49.41,47.58,43.68,43.44
2020-11-26,1,49.68000000000001,49.41,47.58,43.68,43.44,43.44
2020-11-27,1,49.41,47.58,43.68,43.44,43.44,44.64
2020-11-28,1,47.58,43.68,43.44,43.44,44.64,44.16
2020-11-29,1,43.68,43.44,43.44,44.64,44.16,44.16
