MEASURED_IN_DATE,P_ZAB,WELL_NAME,OIL_RATE_5_days_ago,OIL_RATE_4_days_ago,OIL_RATE_3_days_ago,OIL_RATE_2_days_ago,OIL_RATE_1_days_ago,TARGET_OIL_RATE
2020-09-05,51.6,1,98.8,97.6,99.63,96.4,91.2,90.82
2020-09-06,50.59,1,97.6,99.63,96.4,91.2,90.82,92.82
2020-09-07,50.55,1,99.63,96.4,91.2,90.82,92.82,96.76
2020-09-08,50.55,1,96.4,91.2,90.82,92.82,96.76,96.76
2020-09-09,53.55,1,91.2,90.82,92.82,96.76,96.76,95.94
2020-09-10,53.55,1,90.82,92.82,96.76,96.76,95.94,94.71
2020-09-11,53.57,1,92.82,96.76,96.76,95.94,94.71,92.4
2020-09-12,53.57,1,96.76,96.76,95.94,94.71,92.4,92.4
2020-09-13,53.57,1,96.76,95.94,94.71,92.4,92.4,92.4
2020-09-14,46.51,1,95.94,94.71,92.4,92.4,92.4,92.4
2020-09-15,46.51,1,94.71,92.4,92.4,92.4,92.4,92.4
2020-09-16,46.51,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-17,46.51,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-18,46.51,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-19,46.52,1,92.4,92.4,92.4,92.4,92.4,89.60000000000001
2020-09-20,46.52,1,92.4,92.4,92.4,92.4,89.60000000000001,87.2
2020-09-21,46.54,1,92.4,92.4,92.4,89.60000000000001,87.2,84.63000000000001
2020-09-22,46.54,1,92.4,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001
2020-09-23,46.56,1,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001
2020-09-24,48.58,1,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94
2020-09-25,48.58,1,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18
2020-09-26,48.58,1,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18,80.18
2020-09-27,48.58,1,83.85000000000001,81.32000000000001,80.94,80.18,80.18,80.56
2020-09-28,41.49,1,81.32000000000001,80.94,80.18,80.18,80.56,79.8
2020-09-29,41.53,1,80.94,80.18,80.18,80.56,79.8,75.6
2020-09-30,41.53,1,80.18,80.18,80.56,79.8,75.6,75.6
2020-10-01,41.53,1,80.18,80.56,79.8,75.6,75.6,74.52
2020-10-02,43.56,1,80.56,79.8,75.6,75.6,74.52,73.8
2020-10-03,43.56,1,79.8,75.6,75.6,74.52,73.8,74.16
2020-10-04,41.54,1,75.6,75.6,74.52,73.8,74.16,72.72
2020-10-05,42.55,1,75.6,74.52,73.8,74.16,72.72,72.0
2020-10-06,42.56,1,74.52,73.8,74.16,72.72,72.0,71.64
2020-10-07,42.56,1,73.8,74.16,72.72,72.0,71.64,70.92
2020-10-08,41.55,1,74.16,72.72,72.0,71.64,70.92,70.56
2020-10-09,41.55,1,72.72,72.0,71.64,70.92,70.56,70.56
2020-10-10,41.55,1,72.0,71.64,70.92,70.56,70.56,70.56
2020-10-11,41.62,1,71.64,70.92,70.56,70.56,70.56,62.07999999999999
2020-10-12,41.62,1,70.92,70.56,70.56,70.56,62.07999999999999,62.07999999999999
2020-10-13,41.64,1,70.56,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001
2020-10-14,41.85,1,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001
2020-10-15,41.85,1,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001
2020-10-16,41.85,1,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001
2020-10-17,41.85,1,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001
2020-10-18,41.85,1,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001
2020-10-19,41.85,1,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001
2020-10-20,41.85,1,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001
2020-10-21,41.65,1,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-22,41.65,1,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-23,41.65,1,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
