MEASURED_IN_DATE,P_ZAB,WELL_NAME,OIL_RATE_5_days_ago,OIL_RATE_4_days_ago,OIL_RATE_3_days_ago,OIL_RATE_2_days_ago,OIL_RATE_1_days_ago,TARGET_OIL_RATE
2020-09-05,0.0,1,98.8,97.6,99.63,96.4,91.2,90.82
2020-09-06,-8.773390347549537e-11,1,97.6,99.63,96.4,91.2,90.82,92.82
2020-09-07,-1.2036341368037995e-09,1,99.63,96.4,91.2,90.82,92.82,96.76
2020-09-08,0.0,1,96.4,91.2,90.82,92.82,96.76,96.76
2020-09-09,3.1495378527424123e-10,1,91.2,90.82,92.82,96.76,96.76,95.94
2020-09-10,-1.6480983244804293e-12,1,90.82,92.82,96.76,96.76,95.94,94.71
2020-09-11,-1.1411427358609672e-12,1,92.82,96.76,96.76,95.94,94.71,92.4
2020-09-12,0.0,1,96.76,96.76,95.94,94.71,92.4,92.4
2020-09-13,8.773390347549537e-11,1,96.76,95.94,94.71,92.4,92.4,92.4
2020-09-14,-7.097929466404196e-10,1,95.94,94.71,92.4,92.4,92.4,92.4
2020-09-15,0.0,1,94.71,92.4,92.4,92.4,92.4,92.4
2020-09-16,-2.3538812565782047e-10,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-17,0.0,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-18,-1.3241352458948086e-12,1,92.4,92.4,92.4,92.4,92.4,92.4
2020-09-19,1.4886425425686413e-12,1,92.4,92.4,92.4,92.4,92.4,89.60000000000001
2020-09-20,0.0,1,92.4,92.4,92.4,92.4,89.60000000000001,87.2
2020-09-21,7.164495385847403e-10,1,92.4,92.4,92.4,89.60000000000001,87.2,84.63000000000001
2020-09-22,0.0,1,92.4,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001
2020-09-23,2.9644620092028617e-12,1,92.4,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001
2020-09-24,2.6515994955289557e-10,1,89.60000000000001,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94
2020-09-25,0.0,1,87.2,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18
2020-09-26,-1.4886425425686413e-12,1,84.63000000000001,83.85000000000001,81.32000000000001,80.94,80.18,80.18
2020-09-27,0.0,1,83.85000000000001,81.32000000000001,80.94,80.18,80.18,80.56
2020-09-28,-1.3250289199184802e-09,1,81.32000000000001,80.94,80.18,80.18,80.56,79.8
2020-09-29,1.143277139625809e-11,1,80.94,80.18,80.18,80.56,79.8,75.6
2020-09-30,-2.9644620092028617e-12,1,80.18,80.18,80.56,79.8,75.6,75.6
2020-10-01,-2.6515994955289557e-10,1,80.18,80.56,79.8,75.6,75.6,74.52
2020-10-02,5.057568253086231e-10,1,80.56,79.8,75.6,75.6,74.52,73.8
2020-10-03,0.0,1,79.8,75.6,75.6,74.52,73.8,74.16
2020-10-04,-5.029084648722203e-10,1,75.6,75.6,74.52,73.8,74.16,72.72
2020-10-05,1.590579529198166e-09,1,75.6,74.52,73.8,74.16,72.72,72.0
2020-10-06,-8.953754404572578e-12,1,74.52,73.8,74.16,72.72,72.0,71.64
2020-10-07,0.0,1,73.8,74.16,72.72,72.0,71.64,70.92
2020-10-08,-2.681570243634468e-10,1,74.16,72.72,72.0,71.64,70.92,70.56
2020-10-09,-5.057568253086231e-10,1,72.72,72.0,71.64,70.92,70.56,70.56
2020-10-10,0.0,1,72.0,71.64,70.92,70.56,70.56,70.56
2020-10-11,5.227102639615562e-10,1,71.64,70.92,70.56,70.56,70.56,62.07999999999999
2020-10-12,-2.685224265164265e-10,1,70.92,70.56,70.56,70.56,62.07999999999999,62.07999999999999
2020-10-13,3.1437075165285933e-12,1,70.56,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001
2020-10-14,5.811609526951145e-11,1,70.56,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001
2020-10-15,2.681570243634468e-10,1,70.56,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001
2020-10-16,0.0,1,62.07999999999999,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001
