WELL_NAME,DATE,_merge
1.0,2020-01-17,both
1.0,2020-01-18,left_only
1.0,2020-01-19,left_only
1.0,2020-01-20,left_only
1.0,2020-01-21,left_only
1.0,2020-01-22,left_only
1.0,2020-01-23,left_only
1.0,2020-01-24,left_only
1.0,2020-01-25,left_only
1.0,2020-01-26,left_only
1.0,2020-01-27,left_only
1.0,2020-01-28,left_only
1.0,2020-01-29,left_only
1.0,2020-01-30,left_only
1.0,2020-01-31,left_only
1.0,2020-02-01,left_only
1.0,2020-02-02,left_only
1.0,2020-02-03,left_only
1.0,2020-02-04,left_only
1.0,2020-02-05,left_only
1.0,2020-02-06,left_only
1.0,2020-02-07,left_only
1.0,2020-02-08,left_only
1.0,2020-02-09,left_only
1.0,2020-02-10,left_only
1.0,2020-02-11,left_only
1.0,2020-02-12,left_only
1.0,2020-02-13,left_only
1.0,2020-02-14,left_only
1.0,2020-02-15,left_only
1.0,2020-02-16,left_only
1.0,2020-02-17,left_only
1.0,2020-02-18,left_only
1.0,2020-02-19,left_only
1.0,2020-02-20,left_only
1.0,2020-02-21,left_only
1.0,2020-02-22,left_only
1.0,2020-02-23,left_only
1.0,2020-02-24,left_only
1.0,2020-02-25,left_only
1.0,2020-02-26,left_only
1.0,2020-02-27,left_only
1.0,2020-02-28,left_only
1.0,2020-02-29,left_only
1.0,2020-03-01,left_only
1.0,2020-03-02,left_only
1.0,2020-03-03,left_only
1.0,2020-03-04,left_only
1.0,2020-03-05,left_only
1.0,2020-03-06,left_only
1.0,2020-03-07,left_only
1.0,2020-03-08,left_only
1.0,2020-03-09,left_only
1.0,2020-03-10,left_only
1.0,2020-03-11,left_only
1.0,2020-03-12,left_only
1.0,2020-03-13,left_only
1.0,2020-03-14,left_only
1.0,2020-03-15,left_only
1.0,2020-03-16,left_only
1.0,2020-03-17,left_only
1.0,2020-03-18,left_only
1.0,2020-03-19,left_only
1.0,2020-03-20,left_only
1.0,2020-03-21,left_only
1.0,2020-03-22,left_only
1.0,2020-03-23,left_only
1.0,2020-03-24,left_only
1.0,2020-03-25,left_only
1.0,2020-03-26,left_only
1.0,2020-03-27,left_only
1.0,2020-03-28,left_only
1.0,2020-03-29,left_only
1.0,2020-03-30,left_only
1.0,2020-03-31,left_only
1.0,2020-04-01,left_only
1.0,2020-04-02,left_only
1.0,2020-04-03,left_only
1.0,2020-04-04,left_only
1.0,2020-04-05,left_only
1.0,2020-04-06,left_only
1.0,2020-04-07,left_only
1.0,2020-04-08,left_only
1.0,2020-04-09,left_only
1.0,2020-04-10,left_only
1.0,2020-04-11,left_only
1.0,2020-04-12,left_only
1.0,2020-04-13,left_only
1.0,2020-04-14,left_only
1.0,2020-04-15,left_only
1.0,2020-04-16,left_only
1.0,2020-04-17,left_only
1.0,2020-04-18,left_only
1.0,2020-04-19,left_only
1.0,2020-04-20,left_only
1.0,2020-04-21,left_only
1.0,2020-04-22,left_only
1.0,2020-04-23,left_only
1.0,2020-04-24,left_only
1.0,2020-04-25,left_only
1.0,2020-04-26,left_only
1.0,2020-04-27,left_only
1.0,2020-04-28,left_only
1.0,2020-04-29,left_only
1.0,2020-04-30,left_only
1.0,2020-05-01,left_only
1.0,2020-05-02,left_only
1.0,2020-05-03,left_only
1.0,2020-05-04,left_only
1.0,2020-05-05,left_only
1.0,2020-05-06,left_only
1.0,2020-05-07,left_only
1.0,2020-05-08,left_only
1.0,2020-05-09,left_only
1.0,2020-05-10,left_only
1.0,2020-05-11,left_only
1.0,2020-05-12,left_only
1.0,2020-05-13,left_only
1.0,2020-05-14,left_only
1.0,2020-05-15,left_only
1.0,2020-05-16,left_only
1.0,2020-05-17,left_only
1.0,2020-05-18,left_only
1.0,2020-05-19,left_only
1.0,2020-05-20,left_only
1.0,2020-05-21,left_only
1.0,2020-05-22,left_only
1.0,2020-05-23,left_only
1.0,2020-05-24,left_only
1.0,2020-05-25,left_only
1.0,2020-05-26,left_only
1.0,2020-05-27,left_only
1.0,2020-05-28,left_only
1.0,2020-05-29,left_only
1.0,2020-05-30,left_only
1.0,2020-05-31,left_only
1.0,2020-06-01,left_only
1.0,2020-06-02,left_only
1.0,2020-06-03,left_only
1.0,2020-06-04,left_only
1.0,2020-06-05,left_only
1.0,2020-06-06,left_only
1.0,2020-06-07,left_only
1.0,2020-06-08,left_only
1.0,2020-06-09,left_only
1.0,2020-06-10,left_only
1.0,2020-06-11,left_only
1.0,2020-06-12,left_only
1.0,2020-06-13,left_only
1.0,2020-06-14,left_only
1.0,2020-06-15,left_only
1.0,2020-06-16,left_only
1.0,2020-06-17,left_only
