WELL_NAME,WATER_CUT,LIQ_RATE,OIL_RATE,WATER_RATE,Q_LIQ_ACCUM,Q_OIL_ACCUM,Q_WATER_ACCUM
1,9.970890501530516e-18,7.458823735466377e-20,2.2107606036366242e-17,6.22186907913055e-17,3.292517287123771e-10,5.099043382150781e-07,3.4355027280420646e-06
4,4.823969795488033e-22,1.8264677384532953e-20,1.1457808153949853e-20,1.2801081577699127e-21,3.62066994496516e-10,1.6582594519127237e-10,2.2540138089542212e-18
15,1.9446503279952114e-22,6.574359186072507e-17,5.020858590772163e-18,5.123482267073752e-21,1.5308531106183354e-09,9.332572268835346e-07,1.2904972589562162e-14
21,3.861007848970541e-18,1.591469170018423e-11,1.1237864687576681e-11,2.47332247012033e-16,1.7531814022720512e-06,2.8045036359508347e-08,8.253327002734437e-09
27,1.785498531702332e-22,1.0803088212394078e-18,1.3503217361266186e-19,5.586382117091273e-22,2.592010375013507e-07,4.268596801806606e-09,1.0882745043734894e-05
28,7.366125919429692e-17,2.9274849025508e-22,1.7699638680102284e-16,2.0784395345711512e-13,1.1609854765414992e-08,1.5930563158882465e-06,1.060932204229967e-09
29,3.8410429648387477e-19,5.611994288821825e-16,3.900969598233302e-15,1.953980146711703e-17,3.2297141284293593e-11,1.8430169448786082e-05,9.28484320758255e-07
30,9.210940442801232e-19,9.528819805148504e-26,2.4077693722778083e-25,1.0973154792363473e-19,2.594795825254952e-10,6.866696029364865e-09,3.676323839120435e-16
32,1.3093525585722013e-28,1.7350344230383665e-23,3.349903632419084e-27,1.3204088014065477e-27,3.7032818582653364e-10,1.4626137259507233e-11,2.1857498182360427e-24
34,8.919299833725562e-27,3.1905383317106995e-24,7.283542614678537e-22,2.5419679092235146e-23,1.9977118190845005e-10,8.591774210371964e-08,4.4913286207759715e-12
36,1.32683054323949e-19,1.0768939646723387e-20,2.362308844443047e-21,2.1189431232202442e-20,6.735930568565731e-16,2.0756368118675712e-05,1.3519620456249545e-11
37,1.1760605779664394e-24,1.4710867279944967e-12,1.6301145787505779e-12,1.8411168397441554e-26,7.665836057955763e-16,7.749052874313209e-16,1.1048395999830715e-18
38,2.5902778261357905e-28,1.9015937952700777e-24,1.6638848981018672e-18,7.847260713899011e-22,3.0260627818915464e-13,2.86366751842463e-11,1.6269595608160844e-20
39,1.4566123696550253e-22,2.691283092779585e-26,1.9438431373773972e-25,5.668202983769466e-26,6.050090509116722e-14,1.2107889922077643e-12,2.4985463901460654e-21
41,6.692558260006032e-24,1.3479001140629689e-20,2.9590777084575575e-20,9.023176463582772e-19,1.2489507041349317e-12,3.238903648102927e-08,1.804451887441958e-10
42,2.426231875487963e-22,2.128373679496499e-20,1.1401448517589631e-18,4.773227379024681e-21,5.977488975631068e-11,1.5162999282902478e-09,9.502299805610323e-15
43,7.717968986897272e-25,7.80645665399699e-27,7.838750858250948e-26,3.562046464077653e-24,2.7333467888066904e-19,6.569341367576576e-10,7.563899818078605e-11
44,4.946969281503671e-22,6.848696348911071e-21,1.6685035855823595e-22,1.15811800889693e-21,5.177527961517563e-12,6.677728426680381e-08,1.6446288875866345e-07
45,2.0093604543096127e-18,3.7279356529774683e-13,1.0014474060117405e-16,9.896043867745129e-14,8.914407899583476e-11,1.6305322187793964e-06,2.2786572146231616e-06
46,0.0,2.052571131096386e-24,1.1901532063295524e-25,0.0,1.0404984519790654e-11,1.6651611529229588e-08,2.6366941973058294e-30
47,1.4904023167309322e-23,2.4155559795070195e-25,1.9945036180187336e-24,4.924512213838299e-20,3.2225014021393736e-09,5.718381505794903e-08,3.092739038649414e-08
48,1.0484541267556427e-26,1.4936174423737594e-27,3.252270712706688e-27,2.4417633007542455e-25,1.8461662256565082e-12,1.4099771039094285e-11,1.3038468762621688e-11
49,9.020603318256077e-25,4.444601664102948e-25,6.696205526269944e-27,2.5182966238785182e-24,5.562616032878393e-11,1.0543047455775304e-08,3.2325374444048283e-18
50,6.425877507653487e-25,3.729092281305089e-25,5.908766320488572e-24,1.6220963936106298e-26,2.179138841873173e-07,5.825998506462243e-10,6.209142425335731e-08
51,1.659819180621668e-25,5.5291065125618665e-24,1.43096724426219e-25,6.6989997862034e-26,8.238182735371227e-12,6.681974904921204e-11,2.5216234722607294e-13
