MEASURED_IN_DATE,WELL_NAME,CHARWORK,WATER_CUT,P_ZAB,INTAKE,WELLHEAD_PRESSURE,LIQ_RATE,OIL_RATE,WATER_RATE,Q_LIQ_ACCUM,Q_OIL_ACCUM,Q_WATER_ACCUM
2020-08-31,1,НЕФ,60.0,52.57,0.0,,247.0,98.8,148.2,32268.0,18217.46999999999,14050.530000000008
2020-09-01,1,НЕФ,60.0,52.57,0.0,,244.0,97.6,146.39999999999998,32512.0,18315.06999999999,14196.930000000008
2020-09-02,1,НЕФ,59.0,51.55,0.0,,243.0,99.63,143.37,32755.0,18414.69999999999,14340.300000000008
2020-09-03,1,НЕФ,60.0,51.57,0.0,,241.0,96.4,144.6,32996.0,18511.09999999999,14484.900000000009
2020-09-04,1,НЕФ,62.0,51.6,0.0,,240.0,91.2,148.8,33236.0,18602.299999999992,14633.700000000008
2020-09-05,1,НЕФ,62.0,51.6,0.0,,239.0,90.82,148.18,33475.0,18693.11999999999,14781.880000000008
2020-09-06,1,НЕФ,61.0,50.59,0.0,,238.0,92.82,145.18,33713.0,18785.93999999999,14927.060000000009
2020-09-07,1,НЕФ,59.0,50.55,0.0,,236.0,96.76,139.24,33949.0,18882.69999999999,15066.300000000008
2020-09-08,1,НЕФ,59.0,50.55,0.0,,236.0,96.76,139.24,34185.0,18979.45999999999,15205.540000000008
2020-09-09,1,НЕФ,59.0,53.55,0.0,,234.0,95.94,138.06,34419.0,19075.399999999987,15343.600000000008
2020-09-10,1,НЕФ,59.0,53.55,0.0,,231.0,94.71,136.29,34650.0,19170.109999999982,15479.890000000009
2020-09-11,1,НЕФ,60.0,53.57,0.0,,231.0,92.4,138.6,34881.0,19262.509999999987,15618.490000000009
2020-09-12,1,НЕФ,60.0,53.57,0.0,,231.0,92.4,138.6,35112.0,19354.90999999999,15757.09000000001
2020-09-13,1,НЕФ,60.0,53.57,0.0,,231.0,92.4,138.6,35343.0,19447.30999999999,15895.69000000001
2020-09-14,1,НЕФ,60.0,46.51,0.0,,231.0,92.4,138.6,35574.0,19539.709999999992,16034.29000000001
2020-09-15,1,НЕФ,60.0,46.51,0.0,,231.0,92.4,138.6,35805.0,19632.109999999997,16172.89000000001
2020-09-16,1,НЕФ,60.0,46.51,0.0,,231.0,92.4,138.6,36036.0,19724.509999999995,16311.49000000001
2020-09-17,1,НЕФ,60.0,46.51,0.0,,231.0,92.4,138.6,36267.0,19816.91,16450.09000000001
2020-09-18,1,НЕФ,60.0,46.51,0.0,,231.0,92.4,138.6,36498.0,19909.31,16588.69000000001
2020-09-19,1,НЕФ,60.0,46.52,0.0,,224.0,89.60000000000001,134.39999999999998,36722.0,19998.91,16723.09000000001
2020-09-20,1,НЕФ,60.0,46.52,0.0,,218.0,87.2,130.8,36940.0,20086.11,16853.89000000001
2020-09-21,1,НЕФ,61.0,46.54,0.0,,217.0,84.63000000000001,132.37,37157.0,20170.74,16986.26000000001
2020-09-22,1,НЕФ,61.0,46.54,0.0,,215.0,83.85000000000001,131.14999999999998,37372.0,20254.59,17117.41000000001
2020-09-23,1,НЕФ,62.0,46.56,0.0,,214.0,81.32000000000001,132.68,37586.0,20335.91,17250.09000000001
