,WELL_NAME,DATE,_merge
0,1.0,2020-01-17,both
1,1.0,2020-01-18,left_only
2,1.0,2020-01-19,left_only
3,1.0,2020-01-20,left_only
4,1.0,2020-01-21,left_only
5,1.0,2020-01-22,left_only
6,1.0,2020-01-23,left_only
7,1.0,2020-01-24,left_only
8,1.0,2020-01-25,left_only
9,1.0,2020-01-26,left_only
10,1.0,2020-01-27,left_only
11,1.0,2020-01-28,left_only
12,1.0,2020-01-29,left_only
13,1.0,2020-01-30,left_only
14,1.0,2020-01-31,left_only
15,1.0,2020-02-01,left_only
16,1.0,2020-02-02,left_only
17,1.0,2020-02-03,left_only
18,1.0,2020-02-04,left_only
19,1.0,2020-02-05,left_only
20,1.0,2020-02-06,left_only
21,1.0,2020-02-07,left_only
22,1.0,2020-02-08,left_only
23,1.0,2020-02-09,left_only
24,1.0,2020-02-10,left_only
25,1.0,2020-02-11,left_only
26,1.0,2020-02-12,left_only
27,1.0,2020-02-13,left_only
28,1.0,2020-02-14,left_only
29,1.0,2020-02-15,left_only
30,1.0,2020-02-16,left_only
31,1.0,2020-02-17,left_only
32,1.0,2020-02-18,left_only
33,1.0,2020-02-19,left_only
34,1.0,2020-02-20,left_only
35,1.0,2020-02-21,left_only
36,1.0,2020-02-22,left_only
37,1.0,2020-02-23,left_only
38,1.0,2020-02-24,left_only
39,1.0,2020-02-25,left_only
40,1.0,2020-02-26,left_only
41,1.0,2020-02-27,left_only
42,1.0,2020-02-28,left_only
43,1.0,2020-02-29,left_only
44,1.0,2020-03-01,left_only
45,1.0,2020-03-02,left_only
46,1.0,2020-03-03,left_only
47,1.0,2020-03-04,left_only
48,1.0,2020-03-05,left_only
49,1.0,2020-03-06,left_only
50,1.0,2020-03-07,left_only
51,1.0,2020-03-08,left_only
52,1.0,2020-03-09,left_only
53,1.0,2020-03-10,left_only
54,1.0,2020-03-11,left_only
55,1.0,2020-03-12,left_only
56,1.0,2020-03-13,left_only
57,1.0,2020-03-14,left_only
58,1.0,2020-03-15,left_only
59,1.0,2020-03-16,left_only
60,1.0,2020-03-17,left_only
61,1.0,2020-03-18,left_only
62,1.0,2020-03-19,left_only
63,1.0,2020-03-20,left_only
64,1.0,2020-03-21,left_only
65,1.0,2020-03-22,left_only
66,1.0,2020-03-23,left_only
67,1.0,2020-03-24,left_only
68,1.0,2020-03-25,left_only
69,1.0,2020-03-26,left_only
70,1.0,2020-03-27,left_only
71,1.0,2020-03-28,left_only
72,1.0,2020-03-29,left_only
73,1.0,2020-03-30,left_only
74,1.0,2020-03-31,left_only
75,1.0,2020-04-01,left_only
76,1.0,2020-04-02,left_only
77,1.0,2020-04-03,left_only
78,1.0,2020-04-04,left_only
79,1.0,2020-04-05,left_only
80,1.0,2020-04-06,left_only
81,1.0,2020-04-07,left_only
82,1.0,2020-04-08,left_only
83,1.0,2020-04-09,left_only
84,1.0,2020-04-10,left_only
85,1.0,2020-04-11,left_only
86,1.0,2020-04-12,left_only
87,1.0,2020-04-13,left_only
88,1.0,2020-04-14,left_only
89,1.0,2020-04-15,left_only
90,1.0,2020-04-16,left_only
91,1.0,2020-04-17,left_only
92,1.0,2020-04-18,left_only
93,1.0,2020-04-19,left_only
94,1.0,2020-04-20,left_only
95,1.0,2020-04-21,left_only
96,1.0,2020-04-22,left_only
97,1.0,2020-04-23,left_only
98,1.0,2020-04-24,left_only
99,1.0,2020-04-25,left_only
100,1.0,2020-04-26,left_only
101,1.0,2020-04-27,left_only
102,1.0,2020-04-28,left_only
103,1.0,2020-04-29,left_only
104,1.0,2020-04-30,left_only
105,1.0,2020-05-01,left_only
106,1.0,2020-05-02,left_only
107,1.0,2020-05-03,left_only
108,1.0,2020-05-04,left_only
109,1.0,2020-05-05,left_only
110,1.0,2020-05-06,left_only
111,1.0,2020-05-07,left_only
112,1.0,2020-05-08,left_only
113,1.0,2020-05-09,left_only
114,1.0,2020-05-10,left_only
115,1.0,2020-05-11,left_only
116,1.0,2020-05-12,left_only
117,1.0,2020-05-13,left_only
118,1.0,2020-05-14,left_only
119,1.0,2020-05-15,left_only
120,1.0,2020-05-16,left_only
121,1.0,2020-05-17,left_only
122,1.0,2020-05-18,left_only
123,1.0,2020-05-19,left_only
124,1.0,2020-05-20,left_only
125,1.0,2020-05-21,left_only
126,1.0,2020-05-22,left_only
127,1.0,2020-05-23,left_only
128,1.0,2020-05-24,left_only
129,1.0,2020-05-25,left_only
130,1.0,2020-05-26,left_only
131,1.0,2020-05-27,left_only
132,1.0,2020-05-28,left_only
133,1.0,2020-05-29,left_only
134,1.0,2020-05-30,left_only
135,1.0,2020-05-31,left_only
136,1.0,2020-06-01,left_only
137,1.0,2020-06-02,left_only
138,1.0,2020-06-03,left_only
139,1.0,2020-06-04,left_only
140,1.0,2020-06-05,left_only
141,1.0,2020-06-06,left_only
142,1.0,2020-06-07,left_only
143,1.0,2020-06-08,left_only
144,1.0,2020-06-09,left_only
145,1.0,2020-06-10,left_only
146,1.0,2020-06-11,left_only
147,1.0,2020-06-12,left_only
148,1.0,2020-06-13,left_only
149,1.0,2020-06-14,left_only
150,1.0,2020-06-15,left_only
151,1.0,2020-06-16,left_only
152,1.0,2020-06-17,left_only
153,1.0,2020-06-18,left_only
154,1.0,2020-06-19,left_only
155,1.0,2020-06-20,left_only
156,1.0,2020-06-21,left_only
157,1.0,2020-06-22,left_only
158,1.0,2020-06-23,left_only
159,1.0,2020-06-24,left_only
160,1.0,2020-06-25,left_only
161,1.0,2020-06-26,left_only
162,1.0,2020-06-27,left_only
163,1.0,2020-06-28,left_only
164,1.0,2020-06-29,left_only
165,1.0,2020-06-30,left_only
166,1.0,2020-07-01,left_only
167,1.0,2020-07-02,left_only
168,1.0,2020-07-03,left_only
169,1.0,2020-07-04,left_only
170,1.0,2020-07-05,left_only
171,1.0,2020-07-06,left_only
172,1.0,2020-07-07,left_only
173,1.0,2020-07-08,left_only
174,1.0,2020-07-09,left_only
175,1.0,2020-07-10,left_only
176,1.0,2020-07-11,left_only
177,1.0,2020-07-12,left_only
178,1.0,2020-07-13,left_only
179,1.0,2020-07-14,left_only
180,1.0,2020-07-15,left_only
181,1.0,2020-07-16,left_only
182,1.0,2020-07-17,left_only
183,1.0,2020-07-18,left_only
184,1.0,2020-07-19,left_only
185,1.0,2020-07-20,left_only
186,1.0,2020-07-21,left_only
187,1.0,2020-07-22,left_only
188,1.0,2020-07-23,left_only
189,1.0,2020-07-24,left_only
190,1.0,2020-07-25,left_only
191,1.0,2020-07-26,left_only
192,1.0,2020-07-27,left_only
193,1.0,2020-07-28,left_only
194,1.0,2020-07-29,left_only
195,1.0,2020-07-30,left_only
196,1.0,2020-07-31,left_only
197,1.0,2020-08-01,left_only
198,1.0,2020-08-02,left_only
199,1.0,2020-08-03,left_only
200,1.0,2020-08-04,left_only
201,1.0,2020-08-05,left_only
202,1.0,2020-08-06,left_only
203,1.0,2020-08-07,left_only
204,1.0,2020-08-08,left_only
205,1.0,2020-08-09,left_only
206,1.0,2020-08-10,left_only
207,1.0,2020-08-11,left_only
208,1.0,2020-08-12,left_only
209,1.0,2020-08-13,left_only
210,1.0,2020-08-14,left_only
211,1.0,2020-08-15,left_only
212,1.0,2020-08-16,left_only
213,1.0,2020-08-17,left_only
214,1.0,2020-08-18,left_only
215,1.0,2020-08-19,left_only
216,1.0,2020-08-20,left_only
217,1.0,2020-08-21,left_only
218,1.0,2020-08-22,left_only
219,1.0,2020-08-23,left_only
220,1.0,2020-08-24,left_only
221,1.0,2020-08-25,left_only
222,1.0,2020-08-26,left_only
223,1.0,2020-08-27,left_only
224,1.0,2020-08-28,left_only
225,1.0,2020-08-29,left_only
226,1.0,2020-08-30,left_only
227,1.0,2020-08-31,left_only
228,1.0,2020-09-01,left_only
229,1.0,2020-09-02,left_only
230,1.0,2020-09-03,left_only
231,1.0,2020-09-04,left_only
232,1.0,2020-09-05,left_only
233,1.0,2020-09-06,left_only
234,1.0,2020-09-07,left_only
235,1.0,2020-09-08,left_only
236,1.0,2020-09-09,left_only
237,1.0,2020-09-10,left_only
238,1.0,2020-09-11,left_only
239,1.0,2020-09-12,left_only
240,1.0,2020-09-13,left_only
241,1.0,2020-09-14,left_only
242,1.0,2020-09-15,left_only
243,1.0,2020-09-16,left_only
244,1.0,2020-09-17,left_only
245,1.0,2020-09-18,left_only
246,1.0,2020-09-19,left_only
247,1.0,2020-09-20,left_only
248,1.0,2020-09-21,left_only
249,1.0,2020-09-22,left_only
250,1.0,2020-09-23,left_only
251,1.0,2020-09-24,left_only
252,1.0,2020-09-25,left_only
253,1.0,2020-09-26,left_only
254,1.0,2020-09-27,left_only
255,1.0,2020-09-28,left_only
256,1.0,2020-09-29,left_only
257,1.0,2020-09-30,left_only
258,1.0,2020-10-01,left_only
259,1.0,2020-10-02,left_only
260,1.0,2020-10-03,left_only
261,1.0,2020-10-04,left_only
262,1.0,2020-10-05,left_only
263,1.0,2020-10-06,left_only
264,1.0,2020-10-07,left_only
265,1.0,2020-10-08,left_only
266,1.0,2020-10-09,left_only
267,1.0,2020-10-10,left_only
268,1.0,2020-10-11,left_only
269,1.0,2020-10-12,left_only
270,1.0,2020-10-13,left_only
271,1.0,2020-10-14,left_only
272,1.0,2020-10-15,left_only
273,1.0,2020-10-16,left_only
274,1.0,2020-10-17,left_only
275,1.0,2020-10-18,left_only
276,1.0,2020-10-19,left_only
277,1.0,2020-10-20,left_only
278,1.0,2020-10-21,left_only
279,1.0,2020-10-22,left_only
280,1.0,2020-10-23,left_only
281,1.0,2020-10-24,left_only
282,1.0,2020-10-25,left_only
283,1.0,2020-10-26,left_only
284,1.0,2020-10-27,left_only
285,1.0,2020-10-28,left_only
286,1.0,2020-10-29,left_only
287,1.0,2020-10-30,left_only
288,1.0,2020-10-31,left_only
289,1.0,2020-11-01,left_only
290,1.0,2020-11-02,left_only
291,1.0,2020-11-03,left_only
292,1.0,2020-11-04,left_only
293,1.0,2020-11-05,left_only
294,1.0,2020-11-06,left_only
295,1.0,2020-11-07,left_only
296,1.0,2020-11-08,left_only
297,1.0,2020-11-09,left_only
298,1.0,2020-11-10,left_only
299,1.0,2020-11-11,left_only
300,1.0,2020-11-12,left_only
301,1.0,2020-11-13,left_only
302,1.0,2020-11-14,left_only
303,1.0,2020-11-15,left_only
304,1.0,2020-11-16,left_only
305,1.0,2020-11-17,left_only
306,1.0,2020-11-18,left_only
307,1.0,2020-11-19,left_only
308,1.0,2020-11-20,left_only
309,1.0,2020-11-21,left_only
310,1.0,2020-11-22,left_only
311,1.0,2020-11-23,left_only
312,1.0,2020-11-24,left_only
313,1.0,2020-11-25,left_only
314,1.0,2020-11-26,left_only
315,1.0,2020-11-27,left_only
316,1.0,2020-11-28,left_only
317,1.0,2020-11-29,left_only
318,1.0,2020-11-30,left_only
319,1.0,2020-12-01,left_only
320,1.0,2020-12-02,left_only
321,1.0,2020-12-03,left_only
322,1.0,2020-12-04,left_only
323,1.0,2020-12-05,left_only
324,1.0,2020-12-06,left_only
325,1.0,2020-12-07,left_only
326,1.0,2020-12-08,left_only
327,1.0,2020-12-09,left_only
328,1.0,2020-12-10,left_only
329,1.0,2020-12-11,left_only
330,1.0,2020-12-12,left_only
331,1.0,2020-12-13,left_only
332,1.0,2020-12-14,left_only
333,1.0,2020-12-15,left_only
334,1.0,2020-12-16,left_only
335,1.0,2020-12-17,left_only
336,1.0,2020-12-18,left_only
337,1.0,2020-12-19,left_only
338,1.0,2020-12-20,left_only
339,1.0,2020-12-21,left_only
340,1.0,2020-12-22,left_only
341,1.0,2020-12-23,left_only
342,1.0,2020-12-24,left_only
343,1.0,2020-12-25,left_only
344,1.0,2020-12-26,left_only
345,1.0,2020-12-27,left_only
346,1.0,2020-12-28,left_only
347,1.0,2020-12-29,left_only
348,1.0,2020-12-30,left_only
349,1.0,2020-12-31,left_only
350,1.0,2021-01-01,left_only
351,1.0,2021-01-02,left_only
352,1.0,2021-01-03,left_only
353,1.0,2021-01-04,left_only
354,1.0,2021-01-05,left_only
355,1.0,2021-01-06,left_only
356,1.0,2021-01-07,left_only
357,1.0,2021-01-08,left_only
358,1.0,2021-01-09,left_only
359,1.0,2021-01-10,left_only
360,1.0,2021-01-11,left_only
361,1.0,2021-01-12,left_only
362,1.0,2021-01-13,left_only
363,1.0,2021-01-14,left_only
364,1.0,2021-01-15,left_only
365,1.0,2021-01-16,left_only
366,1.0,2021-01-17,left_only
367,1.0,2021-01-18,left_only
368,1.0,2021-01-19,left_only
369,1.0,2021-01-20,left_only
370,1.0,2021-01-21,left_only
371,1.0,2021-01-22,left_only
372,1.0,2021-01-23,left_only
373,1.0,2021-01-24,left_only
374,1.0,2021-01-25,left_only
375,1.0,2021-01-26,left_only
376,1.0,2021-01-27,left_only
377,1.0,2021-01-28,left_only
378,1.0,2021-01-29,left_only
379,1.0,2021-01-30,left_only
380,1.0,2021-01-31,left_only
381,1.0,2021-02-01,left_only
382,1.0,2021-02-02,left_only
383,1.0,2021-02-03,left_only
384,1.0,2021-02-04,left_only
385,1.0,2021-02-05,left_only
386,1.0,2021-02-06,left_only
387,1.0,2021-02-07,left_only
388,1.0,2021-02-08,left_only
389,1.0,2021-02-09,left_only
390,1.0,2021-02-10,left_only
391,1.0,2021-02-11,left_only
392,1.0,2021-02-12,left_only
393,1.0,2021-02-13,left_only
394,1.0,2021-02-14,left_only
395,1.0,2021-02-15,left_only
396,1.0,2021-02-16,left_only
397,1.0,2021-02-17,left_only
398,1.0,2021-02-18,left_only
399,1.0,2021-02-19,left_only
400,1.0,2021-02-20,left_only
401,1.0,2021-02-21,left_only
402,1.0,2021-02-22,left_only
403,1.0,2021-02-23,left_only
404,1.0,2021-02-24,left_only
405,1.0,2021-02-25,left_only
406,1.0,2021-02-26,left_only
407,1.0,2021-02-27,left_only
408,1.0,2021-02-28,left_only
409,1.0,2021-03-01,left_only
410,1.0,2021-03-02,left_only
411,1.0,2021-03-03,left_only
412,1.0,2021-03-04,left_only
413,1.0,2021-03-05,left_only
414,1.0,2021-03-06,left_only
415,1.0,2021-03-07,left_only
416,1.0,2021-03-08,left_only
417,1.0,2021-03-09,left_only
418,1.0,2021-03-10,left_only
419,1.0,2021-03-11,left_only
420,1.0,2021-03-12,left_only
421,1.0,2021-03-13,left_only
422,1.0,2021-03-14,left_only
423,1.0,2021-03-15,left_only
424,1.0,2021-03-16,left_only
425,1.0,2021-03-17,left_only
426,1.0,2021-03-18,left_only
427,1.0,2021-03-19,left_only
428,1.0,2021-03-20,left_only
429,1.0,2021-03-21,left_only
430,1.0,2021-03-22,left_only
431,1.0,2021-03-23,left_only
432,1.0,2021-03-24,left_only
433,1.0,2021-03-25,left_only
434,1.0,2021-03-26,left_only
435,1.0,2021-03-27,left_only
436,1.0,2021-03-28,left_only
437,1.0,2021-03-29,left_only
438,1.0,2021-03-30,left_only
439,1.0,2021-03-31,left_only
440,1.0,2021-04-01,left_only
441,1.0,2021-04-02,left_only
442,1.0,2021-04-03,left_only
443,1.0,2021-04-04,left_only
444,1.0,2021-04-05,left_only
445,1.0,2021-04-06,left_only
446,1.0,2021-04-07,left_only
447,1.0,2021-04-08,left_only
448,1.0,2021-04-09,left_only
449,1.0,2021-04-10,left_only
450,1.0,2021-04-11,left_only
451,1.0,2021-04-12,left_only
452,1.0,2021-04-13,left_only
453,1.0,2021-04-14,left_only
454,1.0,2021-04-15,left_only
455,1.0,2021-04-16,left_only
456,1.0,2021-04-17,left_only
457,1.0,2021-04-18,left_only
